"AGE","SEXE","TAUX","SITUATIONFAMILIALE","NBENFANTSACHARGE","DEUXIEMEVOITURE","IMMATRICULATION"
60,"M",967,"Celibataire",0,"0","6033 CI 23"
66,"M",869,"Celibataire",0,"0","8719 QZ 93"
18,"F",1059,"Celibataire",0,"0","9731 LF 84"
77,"M",582,"En Couple",2,"0","2293 PG 97"
28,"M",934,"En Couple",4,"0","1711 GW 86"
39,"M",1315,"En Couple",3,"0","9369 NH 86"
58,"M",560,"En Couple",1,"0","6554 MM 84"
49,"F",1322,"Celibataire",0,"0","5382 KH 11"
59,"M",838,"En Couple",1,"0","9902 ME 65"
69,"M",567,"Celibataire",0,"0","3048 CW 79"
70,"M",752,"En Couple",2,"0","9964 KK 26"
28,"F",592,"Celibataire",0,"0","9267 PW 61"
41,"M",993,"En Couple",4,"0","6219 OI 22"
33,"M",551,"Celibataire",0,"0","1723 QN 84"
30,"M",1184,"En Couple",2,"1","3608 ZL 33"
58,"M",581,"En Couple",0,"1","1826 JK 22"
53,"M",1172,"Celibataire",0,"0","2040 UO 97"
39,"M",1054,"Celibataire",0,"0","4892 UR 10"
43,"F",817,"En Couple",0,"0","7608 MD 29"
25,"F",1065,"En Couple",0,"0","7968 VG 23"
34,"F",1196,"En Couple",3,"1","664 NO 69"
21,"M",896,"En Couple",1,"0","1431 OG 89"
54,"F",1050,"En Couple",4,"0","6903 ZV 42"
27,"F",1088,"En Couple",0,"0","848 JX 71"
59,"M",959,"Celibataire",0,"0","4207 JE 34"
30,"M",935,"En Couple",3,"0","6589 YJ 75"
29,"M",1057,"En Couple",2,"0","9041 IV 91"
43,"F",1346,"En Couple",2,"1","4702 GO 12"
32,"M",941,"En Couple",3,"0","7069 QF 52"
47,"M",1178,"En Couple",1,"0","6897 OJ 68"
39,"M",1275,"Celibataire",0,"0","7539 UN 19"
27,"F",1306,"Celibataire",0,"0","8752 OB 79"
80,"M",793,"En Couple",1,"0","1889 BG 85"
34,"M",909,"En Couple",0,"1","4402 AU 97"
49,"F",1111,"En Couple",4,"0","3056 PJ 91"
57,"M",915,"En Couple",0,"1","113 OP 72"
54,"M",748,"En Couple",0,"0","7274 FA 36"
43,"F",1312,"En Couple",2,"0","1665 RA 77"
23,"M",705,"En Couple",3,"1","2899 HJ 42"
40,"M",807,"En Couple",4,"0","5496 WR 10"
83,"F",566,"Celibataire",3,"0","48 EN 44"
81,"F",550,"En Couple",3,"0","8302 HC 34"
65,"M",545,"En Couple",0,"0","3246 ZN 39"
19,"M",1357,"En Couple",1,"0","5120 YQ 56"
26,"F",599,"En Couple",0,"0","8405 GI 33"
21,"M",557,"En Couple",1,"0","4147 GQ 11"
71,"M",565,"Celibataire",0,"0","2140 QA 79"
58,"M",1365,"En Couple",0,"0","8283 HI 52"
18,"M",565,"En Couple",3,"0","3368 YG 35"
24,"F",576,"En Couple",0,"0","2009 AN 46"
37,"M",563,"En Couple",2,"0","4402 ST 14"
39,"M",594,"Celibataire",0,"0","5180 YO 26"
21,"F",1234,"En Couple",2,"0","8246 RD 93"
45,"F",599,"Celibataire",0,"0","6245 IR 24"
29,"F",1238,"Celibataire",0,"0","1072 WN 23"
54,"M",1265,"Celibataire",3,"0","3962 MD 74"
27,"M",1343,"Celibataire",0,"0","9795 JQ 32"
50,"M",801,"En Couple",1,"0","8681 CS 44"
19,"M",751,"En Couple",4,"1","9443 IV 41"
44,"M",584,"Celibataire",0,"0","6983 SJ 59"
49,"M",1304,"En Couple",4,"0","6237 WN 35"
33,"F",743,"Celibataire",0,"0","206 BV 97"
20,"M",954,"En Couple",0,"0","4965 LM 68"
43,"F",719,"En Couple",1,"0","9459 MH 47"
39,"M",785,"En Couple",3,"0","8639 TE 12"
81,"M",574,"En Couple",3,"0","451 DE 37"
32,"M",1198,"En Couple",2,"0","2960 KG 40"
84,"F",574,"En Couple",4,"0","653 UX 86"
83,"M",1033,"Celibataire",2,"0","7695 HZ 78"
57,"M",857,"En Couple",0,"0","9233 QO 17"
72,"M",740,"En Couple",3,"0","6349 FH 29"
79,"M",1148,"En Couple",0,"0","1990 OI 52"
31,"F",870,"Celibataire",0,"0","9695 NC 33"
21,"M",576,"En Couple",2,"1","4991 JY 43"
60,"F",745,"En Couple",4,"0","2095 XN 83"
26,"M",1033,"En Couple",0,"0","6081 DN 96"
27,"F",1310,"En Couple",0,"1","667 MO 84"
56,"M",1393,"En Couple",2,"0","7561 KT 69"
44,"M",855,"Celibataire",0,"0","6734 VZ 20"
37,"M",1232,"Celibataire",0,"0","988 BJ 79"
30,"M",568,"Celibataire",0,"0","3065 LW 31"
48,"F",810,"En Couple",0,"0","1804 IF 60"
19,"M",1045,"En Couple",1,"0","7735 TK 35"
32,"M",557,"En Couple",0,"1","5190 TJ 65"
20,"M",1210,"En Couple",2,"1","682 ZH 62"
74,"F",729,"En Couple",0,"0","9858 OQ 24"
29,"M",1205,"En Couple",4,"0","2636 QA 80"
32,"M",1078,"En Couple",2,"0","1886 HR 36"
22,"F",1141,"Celibataire",0,"0","799 FY 45"
22,"F",578,"En Couple",0,"0","594 XH 57"
20,"M",570,"En Couple",2,"0","4101 RI 24"
56,"F",763,"Celibataire",2,"0","9112 BL 13"
40,"M",591,"Celibataire",0,"0","5516 XD 22"
51,"F",568,"En Couple",0,"0","3791 HK 47"
38,"M",1250,"En Couple",3,"0","8269 VE 52"
50,"F",846,"Celibataire",0,"0","8425 SG 24"
19,"F",1086,"Celibataire",0,"0","894 VR 40"
22,"M",1356,"Celibataire",0,"0","1532 HE 55"
29,"M",846,"Celibataire",0,"0","1744 WE 20"
44,"M",939,"Celibataire",0,"0","733 OF 80"
23,"M",1146,"En Couple",1,"0","5683 ZL 35"
31,"M",943,"En Couple",2,"0","4610 GC 19"
68,"F",1354,"En Couple",0,"0","9016 JA 86"
21,"M",560,"En Couple",0,"0","7163 TM 41"
23,"M",567,"Celibataire",0,"0","8578 ZP 86"
60,"M",1305,"En Couple",4,"0","4234 MQ 81"
20,"M",1358,"En Couple",1,"0","4856 EH 67"
24,"M",565,"En Couple",2,"1","3619 BR 56"
28,"F",593,"Celibataire",3,"0","8256 KI 44"
20,"M",796,"Celibataire",0,"0","3401 PQ 87"
29,"M",577,"Celibataire",3,"0","9380 NH 44"
55,"M",1209,"Celibataire",0,"0","8868 AP 82"
77,"F",742,"Celibataire",0,"0","6327 EJ 91"
58,"M",713,"En Couple",3,"0","9603 RP 87"
48,"M",931,"Celibataire",0,"0","3674 UX 50"
25,"M",820,"En Couple",4,"0","7591 ON 59"
61,"M",564,"En Couple",2,"0","2382 LL 72"
32,"M",738,"En Couple",0,"0","5668 HX 93"
84,"F",703,"En Couple",1,"0","4763 TU 12"
28,"F",1244,"Celibataire",0,"0","6966 CZ 15"
59,"M",925,"Celibataire",0,"0","3352 PJ 77"
59,"F",554,"En Couple",0,"0","9461 YP 60"
57,"M",901,"En Couple",2,"0","3613 HE 25"
54,"F",1179,"En Couple",1,"0","2326 MG 88"
40,"M",553,"En Couple",3,"0","6595 UI 92"
23,"M",583,"En Couple",3,"0","4598 QX 94"
39,"F",1056,"En Couple",0,"0","493 IL 56"
18,"F",920,"Celibataire",0,"0","1664 MN 76"
27,"F",702,"En Couple",3,"0","6008 CM 48"
25,"F",552,"En Couple",0,"0","9995 AF 26"
21,"M",588,"Celibataire",3,"0","4888 YU 90"
58,"F",574,"En Couple",1,"0","6017 VW 38"
46,"M",1111,"En Couple",2,"1","3255 TS 33"
55,"M",903,"En Couple",0,"0","3710 IQ 76"
22,"F",571,"En Couple",3,"0","8622 DX 79"
28,"M",813,"En Couple",2,"0","3156 WH 39"
72,"F",587,"En Couple",0,"0","4817 XG 94"
43,"M",552,"Celibataire",0,"0","5100 XD 17"
51,"F",598,"En Couple",4,"0","420 TJ 80"
82,"F",585,"Celibataire",0,"0","984 LM 43"
40,"F",1137,"En Couple",4,"0","570 XT 69"
35,"F",566,"Celibataire",0,"0","4564 YN 11"
31,"F",714,"Celibataire",1,"0","6638 AI 93"
46,"M",1175,"En Couple",4,"1","2224 AF 44"
42,"M",1390,"En Couple",0,"0","9219 DR 51"
32,"F",591,"Celibataire",3,"0","8408 DM 34"
24,"F",1192,"En Couple",4,"0","9790 WR 42"
21,"M",976,"Celibataire",0,"0","2134 GJ 78"
63,"M",869,"En Couple",4,"0","7127 GX 59"
29,"F",894,"Celibataire",1,"0","5450 ZX 77"
29,"F",550,"En Couple",3,"0","9492 GU 28"
30,"F",1185,"En Couple",4,"0","5389 SQ 13"
53,"M",1234,"En Couple",0,"0","1625 RG 69"
21,"F",1372,"Celibataire",0,"0","653 LW 60"
50,"F",1200,"Celibataire",0,"0","2448 DP 57"
39,"M",870,"Celibataire",3,"0","2997 NV 61"
78,"M",549,"Celibataire",0,"0","1034 OU 72"
42,"M",781,"En Couple",4,"0","9597 ML 97"
29,"M",1362,"Celibataire",0,"0","9357 PO 39"
54,"F",939,"Celibataire",0,"0","2723 VA 78"
23,"M",1129,"Celibataire",3,"0","2608 QB 21"
77,"M",763,"En Couple",3,"0","893 ZG 82"
38,"M",875,"En Couple",3,"0","5231 ER 18"
28,"F",1156,"En Couple",2,"0","3308 FM 33"
80,"M",975,"En Couple",0,"0","7308 QC 62"
30,"M",933,"En Couple",4,"1","4422 ER 90"
83,"M",863,"En Couple",2,"0","4455 NU 45"
21,"M",1224,"En Couple",1,"1","4123 OO 35"
32,"F",573,"Celibataire",0,"0","4084 HD 51"
30,"M",570,"Celibataire",0,"0","3559 WG 83"
38,"M",703,"En Couple",2,"0","3413 GL 19"
54,"F",1352,"Celibataire",0,"0","5935 RD 62"
41,"M",569,"En Couple",3,"0","218 RR 73"
32,"M",866,"En Couple",2,"0","1133 KY 83"
58,"F",724,"En Couple",4,"0","4427 WV 69"
66,"M",1035,"En Couple",0,"1","6652 AF 91"
21,"F",1388,"En Couple",0,"0","1630 RO 14"
75,"F",845,"En Couple",0,"0","1239 HA 79"
51,"M",1329,"En Couple",0,"1","2546 TF 29"
36,"M",991,"En Couple",0,"0","5176 UX 40"
82,"M",1070,"Celibataire",0,"0","9392 XY 74"
51,"F",1090,"En Couple",2,"0","1387 HY 42"
47,"M",1312,"En Couple",2,"0","3175 RT 91"
25,"F",575,"En Couple",0,"0","2945 XF 23"
44,"M",986,"Celibataire",0,"0","8189 MX 31"
83,"M",566,"En Couple",0,"1","7408 HM 48"
76,"F",1146,"En Couple",0,"0","3204 TL 58"
72,"M",1273,"En Couple",0,"0","4788 EB 44"
33,"M",1376,"Celibataire",0,"0","6548 IN 24"
59,"M",591,"En Couple",0,"1","2464 DF 38"
61,"M",724,"En Couple",0,"0","8731 AD 66"
30,"M",566,"En Couple",2,"0","5537 VK 31"
20,"M",871,"Celibataire",3,"0","7656 ID 82"
40,"M",751,"En Couple",3,"0","3995 FS 88"
59,"M",713,"Celibataire",0,"0","1472 RL 82"
25,"F",1015,"En Couple",3,"0","3731 BD 79"
19,"F",549,"En Couple",4,"1","9441 AG 14"
24,"F",964,"En Couple",2,"0","8101 BN 37"
28,"F",734,"Celibataire",0,"0","1844 ZY 81"
22,"F",706,"En Couple",1,"1","9726 AD 86"
40,"M",1378,"En Couple",0,"0","5749 ZE 94"
25,"M",554,"En Couple",4,"1","4198 CN 92"
19,"M",545,"En Couple",1,"1","9945 CB 86"
33,"M",584,"Celibataire",0,"0","3524 FU 12"
28,"M",1108,"En Couple",0,"0","3413 TE 16"
81,"M",928,"En Couple",1,"0","133 GN 93"
28,"F",1293,"En Couple",3,"0","7200 WK 73"
64,"M",1198,"En Couple",3,"1","9028 DI 39"
68,"M",1162,"Celibataire",0,"0","1751 CZ 46"
32,"M",1357,"Celibataire",0,"0","5886 GS 86"
58,"M",579,"Celibataire",0,"0","8238 WV 55"
20,"M",555,"En Couple",3,"0","2331 XH 65"
60,"M",562,"En Couple",4,"0","1928 YU 74"
55,"F",589,"En Couple",3,"0","7365 CV 33"
26,"F",1307,"Celibataire",0,"0","4521 ID 67"
36,"M",1371,"En Couple",2,"0","3664 JQ 33"
67,"F",845,"Celibataire",0,"0","3020 GP 23"
23,"F",920,"En Couple",0,"0","4214 TH 54"
46,"F",1047,"En Couple",1,"1","7959 ZA 69"
20,"M",1200,"En Couple",1,"0","3162 FN 80"
24,"M",952,"Celibataire",0,"0","1478 XP 67"
53,"M",834,"Celibataire",0,"0","1452 PE 64"
72,"M",818,"En Couple",3,"0","9030 OT 16"
54,"F",545,"En Couple",0,"0","1747 TV 87"
70,"M",1158,"En Couple",0,"0","416 FK 85"
42,"M",1383,"En Couple",1,"0","66 DW 82"
68,"F",941,"En Couple",0,"1","6223 II 25"
28,"M",1053,"Celibataire",0,"0","8837 HR 39"
71,"M",1119,"En Couple",0,"0","286 GK 44"
44,"M",761,"En Couple",2,"0","2021 YI 95"
71,"M",599,"En Couple",4,"0","3530 NA 55"
73,"F",779,"En Couple",0,"0","8339 UP 85"
78,"F",554,"En Couple",2,"0","4840 WW 40"
46,"M",582,"Celibataire",0,"0","970 LU 78"
29,"M",971,"En Couple",4,"1","1191 AG 66"
78,"F",1317,"En Couple",2,"0","1835 HS 37"
21,"M",587,"Celibataire",0,"0","5957 FK 52"
51,"M",554,"Celibataire",0,"0","5920 NI 20"
29,"M",758,"En Couple",3,"0","1325 GB 14"
84,"M",575,"En Couple",2,"0","2754 NL 78"
37,"M",565,"En Couple",3,"1","3383 BS 43"
58,"M",590,"En Couple",2,"0","6127 PG 96"
36,"M",1278,"En Couple",3,"0","1365 JL 10"
23,"M",1292,"En Couple",1,"0","9690 QH 97"
18,"F",1276,"En Couple",3,"1","9169 CW 23"
57,"M",1318,"En Couple",1,"0","5832 SS 79"
56,"M",588,"En Couple",3,"1","8146 JD 11"
50,"M",747,"En Couple",4,"0","5673 IS 75"
79,"M",593,"En Couple",4,"1","3025 MR 76"
45,"M",1168,"En Couple",1,"0","4491 BB 14"
80,"M",999,"En Couple",1,"0","9683 HH 65"
42,"M",592,"En Couple",0,"0","2132 EN 52"
78,"M",1152,"En Couple",2,"0","1190 XW 20"
25,"M",1011,"Celibataire",0,"0","4052 HA 30"
47,"M",847,"Celibataire",0,"0","8878 AQ 22"
51,"M",963,"En Couple",2,"0","4296 DA 23"
70,"M",566,"En Couple",0,"0","1876 QJ 58"
44,"M",714,"Celibataire",1,"0","2772 PX 84"
56,"M",707,"En Couple",2,"0","2435 YA 67"
79,"M",599,"En Couple",3,"0","8080 BU 91"
40,"F",1033,"Celibataire",0,"0","2541 LH 39"
20,"M",823,"En Couple",0,"0","6862 QO 34"
22,"M",829,"En Couple",3,"0","3825 CD 63"
51,"M",1377,"En Couple",1,"0","3159 LF 97"
19,"M",1136,"Celibataire",0,"0","3882 PU 66"
62,"M",722,"En Couple",4,"0","195 IK 85"
49,"M",803,"Celibataire",3,"0","9928 JX 87"
18,"M",580,"Celibataire",0,"0","5216 UF 52"
49,"M",1136,"En Couple",2,"0","5656 EV 67"
79,"M",1330,"En Couple",2,"1","5228 PU 28"
22,"F",828,"En Couple",3,"0","6224 MU 72"
26,"M",747,"En Couple",1,"0","6809 IK 34"
28,"M",1049,"En Couple",0,"0","4952 JT 30"
68,"M",981,"En Couple",1,"0","3256 OR 68"
64,"M",1202,"Celibataire",0,"0","8303 OJ 66"
39,"F",544,"Celibataire",0,"0","6109 ZK 62"
25,"M",587,"En Couple",0,"0","4901 QV 69"
18,"M",792,"Celibataire",0,"0","7680 GB 90"
37,"M",770,"En Couple",2,"1","3334 ZW 84"
18,"F",1203,"Celibataire",0,"0","3890 OV 86"
75,"M",583,"Celibataire",0,"0","8669 YH 77"
42,"M",792,"Celibataire",0,"0","1453 NG 87"
62,"M",564,"Celibataire",0,"0","3745 EQ 26"
30,"M",1034,"En Couple",2,"0","5588 ON 13"
39,"M",1168,"En Couple",2,"0","5565 EQ 56"
48,"M",822,"En Couple",2,"0","8834 GP 89"
62,"F",1336,"Celibataire",0,"0","490 YQ 81"
46,"F",590,"En Couple",1,"0","2720 IY 18"
21,"M",584,"En Couple",0,"0","9406 MJ 76"
59,"M",844,"En Couple",3,"0","9151 QW 17"
40,"M",969,"En Couple",0,"0","1177 RQ 81"
44,"F",567,"En Couple",2,"0","9276 IQ 61"
48,"M",1283,"En Couple",4,"0","6499 JA 13"
45,"M",1252,"Celibataire",0,"0","1513 CE 95"
32,"F",907,"Celibataire",0,"0","4976 KC 90"
72,"M",859,"En Couple",2,"1","4191 ZU 47"
38,"M",1094,"En Couple",2,"0","979 HL 18"
23,"M",553,"Celibataire",0,"0","6525 ZQ 64"
65,"F",568,"Celibataire",0,"0","3822 JE 83"
26,"M",992,"En Couple",3,"0","7650 JQ 74"
27,"M",1269,"Celibataire",0,"0","8167 FH 69"
83,"M",721,"Celibataire",2,"0","1809 ZT 12"
52,"M",1262,"En Couple",4,"0","8850 AQ 56"
31,"M",960,"Celibataire",0,"0","8716 HL 62"
19,"M",557,"En Couple",0,"0","172 YH 93"
62,"M",1305,"Celibataire",0,"0","7579 SW 65"
56,"M",1153,"Celibataire",0,"0","8195 ST 26"
29,"M",584,"En Couple",2,"1","5106 DB 82"
56,"M",1305,"En Couple",3,"0","7747 TV 30"
80,"M",817,"En Couple",1,"0","2672 HO 70"
74,"M",581,"En Couple",2,"0","5561 FV 52"
30,"M",1054,"Celibataire",0,"0","5857 RW 15"
82,"F",581,"En Couple",0,"1","572 ST 80"
34,"F",1028,"En Couple",1,"1","6614 EP 61"
40,"F",578,"Celibataire",0,"0","844 KN 83"
53,"F",1265,"En Couple",1,"1","1381 IR 13"
30,"F",598,"En Couple",1,"0","8878 HV 92"
52,"M",575,"En Couple",1,"0","2750 HO 72"
54,"M",1377,"Celibataire",0,"0","7376 HD 56"
18,"M",1279,"Celibataire",0,"0","579 BK 78"
36,"F",735,"En Couple",1,"0","7033 DF 61"
83,"M",1137,"En Couple",4,"0","8830 JQ 19"
22,"M",551,"Celibataire",0,"0","4079 NO 59"
82,"M",572,"En Couple",4,"0","8287 VY 34"
34,"F",1034,"En Couple",2,"1","2829 LS 90"
23,"M",867,"En Couple",1,"0","4812 PA 14"
45,"M",1209,"En Couple",0,"0","6444 EP 11"
26,"F",592,"En Couple",0,"0","4129 BJ 33"
23,"F",567,"En Couple",3,"0","7253 JC 48"
24,"M",587,"Celibataire",0,"0","9979 IT 80"
20,"M",934,"En Couple",1,"0","8561 YM 96"
33,"M",1004,"Celibataire",0,"0","5743 OB 55"
61,"M",1207,"En Couple",1,"1","3178 WN 35"
22,"M",574,"En Couple",1,"0","9484 WR 79"
83,"M",745,"En Couple",1,"1","1910 AH 16"
19,"M",921,"Celibataire",0,"0","8479 PQ 96"
42,"M",1068,"En Couple",3,"0","6396 TK 16"
24,"M",743,"Celibataire",0,"0","3497 YX 39"
84,"M",719,"Celibataire",0,"0","9667 FB 97"
49,"M",1368,"Celibataire",0,"0","4594 XZ 57"
51,"F",1099,"Celibataire",0,"0","6357 MY 36"
25,"M",932,"Celibataire",0,"0","2342 GR 96"
51,"M",1318,"Celibataire",0,"0","511 SG 88"
20,"F",1051,"En Couple",0,"1","5567 OD 26"
51,"M",1317,"En Couple",1,"0","467 CF 89"
25,"M",558,"Celibataire",0,"0","7988 DP 38"
18,"M",575,"Celibataire",0,"0","2214 LF 68"
46,"M",836,"En Couple",4,"0","3656 IY 60"
21,"F",551,"En Couple",0,"0","6768 SY 34"
75,"M",788,"Celibataire",0,"0","6405 OH 53"
33,"M",1395,"Celibataire",0,"0","5276 JH 65"
21,"M",1220,"Celibataire",0,"0","1561 WZ 49"
19,"M",583,"Celibataire",0,"0","3616 DG 25"
40,"M",565,"En Couple",2,"1","3125 MO 10"
28,"M",1086,"En Couple",4,"0","4742 XT 17"
31,"F",1220,"Celibataire",0,"0","2042 JL 62"
53,"M",975,"En Couple",0,"0","9359 II 79"
26,"M",570,"En Couple",2,"1","4209 JT 48"
50,"M",572,"En Couple",2,"1","4401 CZ 15"
52,"M",560,"En Couple",0,"1","8526 NZ 32"
81,"M",720,"Celibataire",2,"0","6927 CG 55"
26,"M",584,"Celibataire",0,"0","1416 GE 78"
47,"F",596,"En Couple",2,"0","5788 JT 75"
53,"F",1300,"En Couple",2,"1","8018 OP 93"
36,"M",1152,"En Couple",2,"0","3322 YH 42"
35,"M",774,"Celibataire",0,"0","1813 RF 63"
47,"F",1189,"Celibataire",1,"0","164 CL 15"
45,"M",1266,"En Couple",3,"0","2581 ZX 87"
27,"M",1019,"En Couple",2,"0","8511 EF 86"
41,"M",1261,"Celibataire",0,"0","6019 LV 25"
23,"F",592,"En Couple",3,"0","1681 ZE 71"
41,"M",1323,"Celibataire",0,"0","390 HZ 90"
47,"F",1202,"En Couple",1,"0","7136 BX 47"
51,"M",853,"En Couple",2,"0","1169 ZT 98"
81,"M",545,"Celibataire",0,"0","1294 YM 10"
32,"M",1260,"En Couple",4,"0","1131 WA 77"
81,"M",566,"En Couple",2,"0","2494 MN 37"
58,"M",1094,"En Couple",1,"0","3632 HI 75"
48,"M",1139,"Celibataire",0,"0","6336 XD 28"
18,"M",813,"Celibataire",0,"0","9195 LW 46"
21,"F",859,"En Couple",3,"0","5034 BZ 47"
27,"M",554,"En Couple",0,"0","622 UW 98"
31,"F",588,"En Couple",3,"1","5125 BK 94"
20,"F",809,"Celibataire",0,"0","8738 BG 65"
49,"M",571,"En Couple",1,"0","1339 LU 55"
20,"M",840,"En Couple",2,"0","3938 ED 79"
76,"M",1050,"En Couple",2,"0","2747 XP 22"
63,"F",585,"Celibataire",1,"0","5738 DD 85"
57,"M",784,"En Couple",3,"0","8708 TU 31"
26,"M",1366,"En Couple",2,"0","9213 KI 98"
42,"F",801,"En Couple",3,"0","6696 KO 87"
82,"M",1313,"En Couple",2,"0","25 JZ 81"
45,"M",586,"Celibataire",0,"0","6930 GF 28"
25,"F",960,"En Couple",0,"0","6530 XJ 64"
48,"F",1350,"Celibataire",0,"0","430 OO 77"
20,"M",857,"En Couple",0,"0","9420 YZ 83"
69,"F",584,"Celibataire",2,"0","9474 YR 56"
24,"M",569,"En Couple",2,"1","946 KC 30"
59,"M",1299,"Celibataire",0,"0","7576 VC 94"
21,"F",558,"Celibataire",0,"0","3889 PD 63"
34,"M",591,"Celibataire",0,"0","8559 RA 78"
24,"M",809,"En Couple",4,"0","9086 IR 20"
31,"M",570,"En Couple",2,"0","2808 ZN 67"
78,"M",1287,"En Couple",0,"0","5392 QF 13"
29,"M",953,"En Couple",2,"1","8869 EV 77"
53,"F",833,"Celibataire",0,"0","6348 UF 50"
20,"F",549,"En Couple",0,"0","7315 GA 56"
27,"M",1157,"En Couple",3,"0","7175 VC 77"
22,"M",1149,"En Couple",0,"0","8984 FF 30"
33,"M",808,"En Couple",2,"0","8281 AB 16"
46,"M",1331,"En Couple",3,"0","7389 FZ 24"
33,"F",1134,"En Couple",4,"0","6879 VW 32"
48,"F",868,"En Couple",3,"0","3886 VH 93"
25,"M",1299,"Celibataire",0,"0","8712 CH 20"
70,"M",559,"En Couple",0,"0","3380 WL 58"
27,"M",1373,"En Couple",2,"0","4932 DL 89"
22,"M",1185,"En Couple",1,"0","330 OJ 87"
29,"M",1344,"En Couple",4,"0","4081 BW 30"
29,"F",1260,"En Couple",2,"0","2293 MW 16"
81,"M",992,"En Couple",0,"0","1558 EM 67"
78,"F",1247,"En Couple",0,"0","7847 PP 79"
82,"M",855,"Celibataire",0,"0","3098 VH 66"
32,"M",552,"En Couple",2,"0","9071 MK 60"
59,"M",770,"En Couple",4,"0","2864 FB 20"
34,"F",1199,"Celibataire",0,"0","8360 XT 90"
36,"F",572,"En Couple",1,"1","5114 EX 72"
50,"M",1347,"En Couple",2,"0","1123 LV 31"
52,"M",761,"En Couple",4,"1","9997 VO 74"
84,"M",1372,"En Couple",2,"1","8626 KY 93"
80,"M",1072,"En Couple",1,"0","2962 ID 73"
29,"M",553,"Celibataire",0,"0","5083 SP 59"
39,"M",557,"En Couple",4,"0","1099 JD 54"
67,"M",1275,"En Couple",3,"0","5506 DV 93"
27,"F",585,"Celibataire",0,"0","1510 WO 82"
18,"M",1245,"Celibataire",0,"0","7610 HY 66"
34,"M",761,"En Couple",2,"0","5406 LH 81"
30,"M",734,"Celibataire",3,"0","7368 PA 28"
39,"M",926,"Celibataire",0,"0","2319 EN 10"
46,"F",1131,"En Couple",1,"0","5581 KL 46"
28,"M",830,"Celibataire",0,"0","6339 RW 79"
28,"F",1219,"Celibataire",0,"0","6018 BA 59"
25,"F",919,"En Couple",3,"0","2470 IU 84"
51,"F",573,"Celibataire",0,"0","6818 PV 93"
43,"M",559,"En Couple",2,"0","8201 WC 12"
58,"F",592,"Celibataire",0,"0","4361 TC 80"
19,"M",831,"Celibataire",0,"0","4332 BJ 87"
48,"M",946,"En Couple",1,"0","4182 YX 74"
18,"M",553,"En Couple",2,"0","9894 RG 97"
60,"M",869,"En Couple",3,"1","702 LS 13"
39,"M",558,"Celibataire",0,"0","2545 HT 42"
23,"F",1263,"Celibataire",0,"0","4100 ES 82"
51,"M",1165,"En Couple",0,"0","6649 VT 87"
66,"M",1299,"Celibataire",0,"0","76 KI 49"
37,"M",561,"En Couple",2,"1","1615 KS 91"
56,"F",1009,"Celibataire",0,"0","9467 KA 74"
69,"M",1306,"En Couple",0,"0","1212 OX 52"
55,"M",950,"Celibataire",0,"0","9149 AV 38"
36,"F",1319,"En Couple",1,"0","5534 NP 63"
20,"M",917,"Celibataire",0,"0","5717 ZA 20"
63,"M",923,"En Couple",1,"0","4644 TN 32"
33,"M",545,"En Couple",1,"0","6055 VA 95"
47,"F",1304,"En Couple",2,"1","9611 AK 41"
52,"M",1200,"En Couple",0,"0","5921 RQ 39"
64,"F",572,"Celibataire",0,"0","630 GP 14"
52,"F",595,"En Couple",1,"0","3576 PZ 89"
69,"F",1390,"En Couple",2,"0","2789 DO 90"
27,"M",552,"Celibataire",0,"0","9176 SS 84"
26,"M",1108,"En Couple",2,"0","3948 MQ 91"
19,"M",1284,"En Couple",3,"0","2680 JJ 39"
43,"F",1048,"Celibataire",0,"0","1504 TU 83"
30,"M",1040,"En Couple",0,"0","2228 SJ 51"
32,"M",1027,"En Couple",1,"0","5952 QL 24"
37,"M",790,"En Couple",1,"0","3593 EA 40"
24,"F",566,"Celibataire",0,"0","998 BT 22"
50,"M",1087,"En Couple",4,"0","6885 JM 40"
68,"F",1133,"Celibataire",0,"0","4338 NF 38"
37,"M",972,"Celibataire",2,"0","19 JX 91"
20,"M",575,"En Couple",3,"0","5435 EK 86"
23,"M",901,"En Couple",0,"0","734 DS 31"
18,"M",834,"En Couple",2,"0","1442 AU 65"
25,"F",1048,"En Couple",2,"0","3350 CC 61"
22,"M",1273,"Celibataire",0,"0","6919 GO 60"
39,"M",869,"Celibataire",0,"0","5098 CY 87"
36,"F",1047,"En Couple",3,"1","9260 KG 53"
47,"M",1339,"Celibataire",2,"0","3364 EB 95"
58,"F",1053,"En Couple",2,"0","9031 KJ 40"
64,"F",761,"En Couple",2,"0","8222 OE 95"
32,"M",1070,"En Couple",1,"0","8197 EO 33"
22,"M",1106,"En Couple",1,"0","8770 JC 97"
20,"M",750,"En Couple",4,"0","9247 UZ 87"
46,"F",1286,"En Couple",3,"0","6828 UK 12"
59,"M",598,"En Couple",2,"0","9177 JG 19"
28,"M",706,"Celibataire",0,"0","78 GN 34"
66,"M",1209,"Celibataire",0,"0","6961 UP 26"
18,"M",889,"En Couple",1,"0","4966 ZL 41"
52,"M",569,"En Couple",3,"0","5419 WN 98"
29,"F",575,"En Couple",3,"0","4375 NL 98"
31,"F",787,"En Couple",2,"1","9790 UA 14"
27,"M",558,"En Couple",4,"1","2576 IK 19"
26,"M",781,"Celibataire",3,"0","2366 KU 47"
75,"M",983,"En Couple",1,"0","8720 GO 44"
